DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
CANANDAIGUA CITY SD,0.11,0.3,0.07029850746268657
EAST BLOOMFIELD CSD,0.19,0.42,0.15223880597014924
GENEVA CITY SD,0.18,0.25,0.15310975609756097
GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,0.08,0.07,0.08157303370786517
MANCHESTER-SHORTSVILLE CSD (RED JACK,0.18,0.17,0.18410714285714283
NAPLES CSD,0.07,0.22,0.05285714285714287
PHELPS-CLIFTON SPRINGS CSD,0.09,0.2,0.0781294964028777
HONEOYE CSD,0.17,0.18,0.16703703703703704
VICTOR CSD,0.12,0.22,0.11151515151515151
WASHINGTONVILLE CSD,0.12,0.31,0.06439024390243901
CHESTER UFSD,0.09,0.13,0.07914285714285713
CORNWALL CSD,0.12,0.39,0.10225352112676055
PINE BUSH CSD,0.1,0.1,0.1
GOSHEN CSD,0.15,0.44,0.08926701570680627
HIGHLAND FALLS CSD,0.11,0.25,0.09
MIDDLETOWN CITY SD,0.1,0.15,0.08950850661625709
MINISINK VALLEY CSD,0.12,0.18,0.11561538461538459
MONROE-WOODBURY CSD,0.05,0.11,0.03759090909090909
KIRYAS JOEL VILLAGE UFSD,0.15,0.17,0.13823529411764704
VALLEY CSD (MONTGOMERY),0.1,0.23,0.09060240963855422
NEWBURGH CITY SD,0.07,0.13,0.06024813895781638
PORT JERVIS CITY SD,0.07,0.23,0.042923076923076925
TUXEDO UFSD,0.2,0.11,0.2
WARWICK VALLEY CSD,0.08,0.2,0.061538461538461535
GREENWOOD LAKE UFSD,0.13,0.33,0.10777777777777776
FLORIDA UFSD,0.07,0.25,0.05119402985074628
ALBION CSD,0.05,0.11,0.04318181818181819
KENDALL CSD,0.1,0.2,0.07586206896551725
HOLLEY CSD,0.1,0.1,0.09999999999999999
MEDINA CSD,0.12,0.27,0.09702702702702702
LYNDONVILLE CSD,0.24,0.63,0.16687499999999997
ALTMAR-PARISH-WILLIAMSTOWN CSD,0.14,0.11,0.15094594594594596
FULTON CITY SD,0.1,0.18,0.07463414634146341
HANNIBAL CSD,0.12,0.2,0.09037037037037038
CENTRAL SQUARE CSD,0.1,0.37,0.06790983606557377
MEXICO CSD,0.12,0.05,0.1249044585987261
OSWEGO CITY SD,0.07,0.11,0.06182978723404256
PULASKI CSD,0.1,0.0,0.10519480519480519
SANDY CREEK CSD,0.07,0.0,0.07100000000000001
PHOENIX CSD,0.09,0.09,0.09
GILBERTSVILLE-MOUNT UPTON CSD,0.26,1.0,0.0323076923076923
EDMESTON CSD,0.17,0.38,0.12058823529411766
LAURENS CSD,0.15,0.29,0.11266666666666668
SCHENEVUS CSD,0.2,0.3,0.10000000000000002
MILFORD CSD,0.1,0.0,0.11000000000000001
MORRIS CSD,0.23,0.14,0.2463636363636364
ONEONTA CITY SD,0.09,0.27,0.06410071942446043
OTEGO-UNADILLA CSD,0.17,0.33,0.15344827586206897
COOPERSTOWN CSD,0.1,0.0,0.10555555555555556
RICHFIELD SPRINGS CSD,0.19,0.44,0.14348837209302326
