DISTRICT,YEAR,PER_TURN_ALL,PER_TURN_INEXP,NUM_TEACH,NUM_TEACH_INEXP,PER_TEACH_INEXP,NUM_TEACH_EXP,PER_TEACH_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_FRPL,K12,ATTENDANCE_RATE,PER_ELL,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_SWD,PER_STATE_LOCAL_EXP,PER_FED_STATE_LOCAL_EXP,NUM_TOT_TURN,NUM_INEXP_TURN,NUM_EXP_TURN,PER_TURN_EXP
MORAVIA CSD,2022,0.24,0.15,79.0,13.0,16.0,66.0,83.54430379746836,43.0,3.0,46.0,840.0,91.0,1.0,0.0,2.0,1.0,96.0,15.0,19044.0,20235.0,18.96,1.95,17.01,0.25772727272727275
UNION SPRINGS CSD,2022,0.15,0.43,71.0,7.0,10.0,64.0,90.14084507042254,37.0,3.0,40.0,721.0,92.0,1.0,1.0,6.0,1.0,90.0,10.0,18241.0,20292.0,10.65,3.01,7.640000000000001,0.11937500000000001
SOUTHWESTERN CSD AT JAMESTOWN,2022,0.08,0.0,112.0,11.0,10.0,101.0,90.17857142857143,36.0,3.0,39.0,1300.0,94.0,1.0,0.0,6.0,2.0,86.0,15.0,16080.0,17486.0,8.96,0.0,8.96,0.08871287128712872
FREWSBURG CSD,2022,0.07,0.0,68.0,1.0,1.0,67.0,98.52941176470588,39.0,3.0,42.0,739.0,93.0,0.0,0.0,2.0,1.0,94.0,17.0,17470.0,19762.0,4.760000000000001,0.0,4.760000000000001,0.07104477611940299
CASSADAGA VALLEY CSD,2022,0.06,0.33,78.0,9.0,12.0,69.0,88.46153846153845,55.0,4.0,59.0,774.0,93.0,1.0,1.0,2.0,1.0,92.0,16.0,18848.0,21614.0,4.68,2.97,1.7099999999999995,0.024782608695652165
CHAUTAUQUA LAKE CSD,2022,0.08,0.0,84.0,15.0,18.0,69.0,82.14285714285714,37.0,4.0,41.0,674.0,93.0,0.0,0.0,3.0,0.0,95.0,17.0,24144.0,25534.0,6.72,0.0,6.72,0.09739130434782609
PINE VALLEY CSD (SOUTH DAYTON),2022,0.19,0.21,58.0,18.0,31.0,40.0,68.96551724137932,55.0,5.0,60.0,490.0,91.0,1.0,0.0,3.0,0.0,91.0,17.0,18973.0,21423.0,11.02,3.78,7.24,0.181
CLYMER CSD,2022,0.17,0.08,38.0,5.0,13.0,33.0,86.8421052631579,24.0,8.0,32.0,360.0,94.0,0.0,1.0,4.0,1.0,90.0,12.0,24393.0,26420.0,6.460000000000001,0.4,6.0600000000000005,0.18363636363636365
DUNKIRK CITY SD,2022,0.19,0.32,168.0,32.0,19.0,136.0,80.95238095238095,69.0,0.0,69.0,1957.0,87.0,19.0,4.0,57.0,0.0,35.0,14.0,18871.0,21924.0,31.92,10.24,21.68,0.15941176470588236
BEMUS POINT CSD,2022,0.05,0.11,66.0,9.0,14.0,57.0,86.36363636363636,22.0,1.0,23.0,599.0,92.0,0.0,0.0,2.0,1.0,96.0,13.0,19115.0,20209.0,3.3000000000000003,0.99,2.3100000000000005,0.040526315789473695
FALCONER CSD,2022,0.08,0.31,104.0,17.0,16.0,87.0,83.65384615384616,45.0,4.0,49.0,1086.0,93.0,0.0,2.0,4.0,0.0,93.0,14.0,15947.0,17596.0,8.32,5.27,3.0500000000000007,0.035057471264367826
SILVER CREEK CSD,2022,0.09,0.2,116.0,13.0,11.0,103.0,88.79310344827587,49.0,5.0,54.0,953.0,89.0,1.0,1.0,8.0,0.0,72.0,18.0,20554.0,22304.0,10.44,2.6,7.84,0.07611650485436892
FORESTVILLE CSD,2022,0.13,0.25,47.0,6.0,13.0,41.0,87.2340425531915,27.0,3.0,30.0,409.0,90.0,0.0,1.0,6.0,0.0,88.0,20.0,17729.0,19908.0,6.11,1.5,4.61,0.1124390243902439
PANAMA CSD,2022,0.12,0.2,51.0,6.0,12.0,45.0,88.23529411764706,38.0,3.0,41.0,428.0,95.0,1.0,0.0,3.0,0.0,94.0,15.0,21408.0,23430.0,6.12,1.2000000000000002,4.92,0.10933333333333334
JAMESTOWN CITY SD,2022,0.09,0.23,413.0,52.0,13.0,361.0,87.40920096852301,74.0,1.0,75.0,4261.0,84.0,4.0,3.0,24.0,0.0,61.0,16.0,15133.0,17054.0,37.17,11.96,25.21,0.06983379501385041
FREDONIA CSD,2022,0.12,0.15,143.0,30.0,21.0,113.0,79.02097902097903,38.0,3.0,41.0,1384.0,90.0,3.0,1.0,18.0,1.0,75.0,14.0,19001.0,20352.0,17.16,4.5,12.66,0.1120353982300885
BROCTON CSD,2022,0.04,0.11,59.0,11.0,19.0,48.0,81.35593220338984,63.0,7.0,70.0,501.0,90.0,2.0,0.0,15.0,0.0,80.0,15.0,22213.0,24636.0,2.36,1.21,1.15,0.02395833333333333
RIPLEY CSD,2022,0.06,0.0,20.0,4.0,20.0,16.0,80.0,58.0,7.0,65.0,121.0,90.0,2.0,4.0,5.0,0.0,91.0,25.0,36357.0,40194.0,1.2,0.0,1.2,0.075
SHERMAN CSD,2022,0.14,0.33,43.0,3.0,7.0,40.0,93.02325581395348,44.0,2.0,46.0,393.0,92.0,1.0,0.0,2.0,0.0,96.0,19.0,20271.0,23525.0,6.0200000000000005,0.99,5.03,0.12575
WESTFIELD CSD,2022,0.16,0.2,69.0,18.0,26.0,51.0,73.91304347826086,47.0,4.0,51.0,612.0,91.0,1.0,2.0,7.0,1.0,88.0,24.0,25275.0,28051.0,11.040000000000001,3.6,7.440000000000001,0.1458823529411765
ELMIRA CITY SD,2022,0.14,0.21,344.0,47.0,14.0,297.0,86.33720930232558,64.0,1.0,65.0,5351.0,85.0,0.0,13.0,4.0,0.0,70.0,14.0,17942.0,20077.0,48.160000000000004,9.87,38.290000000000006,0.12892255892255894
HORSEHEADS CSD,2022,0.09,0.26,291.0,23.0,8.0,268.0,92.09621993127148,31.0,2.0,33.0,3574.0,94.0,1.0,2.0,4.0,3.0,87.0,13.0,17701.0,18579.0,26.189999999999998,5.98,20.209999999999997,0.07541044776119402
ELMIRA HEIGHTS CSD,2022,0.06,0.0,98.0,12.0,12.0,86.0,87.75510204081633,48.0,6.0,54.0,955.0,94.0,0.0,3.0,3.0,1.0,86.0,14.0,18624.0,20705.0,5.88,0.0,5.88,0.06837209302325581
AFTON CSD,2022,0.24,0.5,62.0,13.0,21.0,49.0,79.03225806451613,51.0,0.0,51.0,442.0,88.0,0.0,3.0,4.0,1.0,90.0,15.0,27551.0,30086.0,14.879999999999999,6.5,8.379999999999999,0.17102040816326528
BAINBRIDGE-GUILFORD CSD,2022,0.13,0.27,71.0,10.0,14.0,61.0,85.91549295774648,47.0,2.0,49.0,746.0,85.0,0.0,1.0,4.0,1.0,90.0,15.0,18958.0,20737.0,9.23,2.7,6.53,0.10704918032786885
GREENE CSD,2022,0.1,0.14,84.0,7.0,8.0,77.0,91.66666666666666,39.0,5.0,44.0,866.0,93.0,0.0,1.0,2.0,1.0,95.0,11.0,21444.0,24036.0,8.4,0.9800000000000001,7.42,0.09636363636363636
UNADILLA VALLEY CSD,2022,0.18,0.33,76.0,14.0,18.0,62.0,81.57894736842105,41.0,1.0,42.0,756.0,91.0,0.0,1.0,2.0,0.0,95.0,20.0,21721.0,23242.0,13.68,4.62,9.059999999999999,0.1461290322580645
NORWICH CITY SD,2022,0.19,0.33,139.0,19.0,14.0,120.0,86.33093525179856,48.0,2.0,50.0,1642.0,89.0,1.0,3.0,2.0,1.0,91.0,18.0,18413.0,20657.0,26.41,6.2700000000000005,20.14,0.16783333333333333
OTSELIC VALLEY CSD,2022,0.24,0.4,27.0,11.0,41.0,16.0,59.25925925925925,45.0,0.0,45.0,283.0,78.0,1.0,0.0,1.0,0.0,98.0,21.0,37809.0,39506.0,6.4799999999999995,4.4,2.079999999999999,0.12999999999999995
OXFORD ACADEMY & CSD,2022,0.07,0.33,72.0,5.0,7.0,67.0,93.05555555555556,45.0,2.0,47.0,650.0,91.0,0.0,2.0,3.0,0.0,94.0,14.0,22910.0,24773.0,5.040000000000001,1.6500000000000001,3.3900000000000006,0.05059701492537314
SHERBURNE-EARLVILLE CSD,2022,0.11,0.11,125.0,17.0,14.0,108.0,86.4,42.0,0.0,42.0,1223.0,91.0,0.0,1.0,1.0,0.0,96.0,20.0,22203.0,22203.0,13.75,1.87,11.879999999999999,0.10999999999999999
AUSABLE VALLEY CSD,2022,0.14,0.27,103.0,10.0,10.0,93.0,90.29126213592234,46.0,1.0,47.0,1078.0,93.0,0.0,2.0,0.0,0.0,97.0,15.0,23298.0,26857.0,14.420000000000002,2.7,11.720000000000002,0.1260215053763441
BEEKMANTOWN CSD,2022,0.13,0.23,163.0,11.0,7.0,152.0,93.25153374233128,43.0,2.0,45.0,1896.0,91.0,0.0,2.0,3.0,1.0,94.0,18.0,18494.0,20007.0,21.19,2.5300000000000002,18.66,0.12276315789473684
NORTHEASTERN CLINTON CSD,2022,0.18,0.13,104.0,15.0,14.0,89.0,85.57692307692307,45.0,5.0,50.0,1218.0,90.0,0.0,1.0,1.0,1.0,97.0,18.0,19755.0,22140.0,18.72,1.9500000000000002,16.77,0.18842696629213482
CHAZY UFSD,2022,0.11,0.1,44.0,9.0,20.0,35.0,79.54545454545455,26.0,1.0,27.0,449.0,93.0,0.0,2.0,1.0,1.0,96.0,12.0,19306.0,20544.0,4.84,0.9,3.94,0.11257142857142857
