YEAR,DISTRICT,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,13.0,3.0,8.0,4.0,8.0,16.0,20.0
2014,JORDAN-ELBRIDGE CENTRAL SCHOOL DISTRICT,27.0,5.0,1.0,1.0,1.0,32.0,3.0
2014,FABIUS-POMPEY CENTRAL SCHOOL DISTRICT,20.0,9.0,1.0,2.0,1.0,29.0,4.0
2014,WESTHILL CENTRAL SCHOOL DISTRICT,9.0,2.0,3.0,3.0,2.0,11.0,8.0
2014,SOLVAY UNION FREE SCHOOL DISTRICT,40.0,12.0,3.0,6.0,1.0,52.0,10.0
2014,LAFAYETTE CENTRAL SCHOOL DISTRICT,36.0,7.0,1.0,1.0,1.0,43.0,3.0
2014,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,17.0,5.0,1.0,3.0,2.0,22.0,6.0
2014,FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,6.0,3.0,3.0,2.0,8.0,9.0,13.0
2014,MARCELLUS CENTRAL SCHOOL DISTRICT,12.0,2.0,0.0,1.0,2.0,14.0,3.0
2014,ONONDAGA CENTRAL SCHOOL DISTRICT,29.0,8.0,9.0,3.0,1.0,37.0,13.0
2014,LIVERPOOL CENTRAL SCHOOL DISTRICT,26.0,8.0,8.0,4.0,5.0,34.0,17.0
2014,LYNCOURT UNION FREE SCHOOL DISTRICT,40.0,16.0,13.0,6.0,4.0,56.0,23.0
2014,SKANEATELES CENTRAL SCHOOL DISTRICT,4.0,3.0,0.0,1.0,2.0,7.0,3.0
2014,SYRACUSE CITY SCHOOL DISTRICT,72.0,4.0,50.0,13.0,7.0,76.0,70.0
2014,TULLY CENTRAL SCHOOL DISTRICT,19.0,8.0,2.0,1.0,1.0,27.0,4.0
2014,CANANDAIGUA CITY SCHOOL DISTRICT,23.0,5.0,2.0,3.0,1.0,28.0,6.0
2014,EAST BLOOMFIELD CENTRAL SCHOOL DISTRICT,20.0,8.0,1.0,3.0,1.0,28.0,5.0
2014,GENEVA CITY SCHOOL DISTRICT,48.0,8.0,14.0,24.0,2.0,56.0,40.0
2014,GORHAM-MIDDLESEX CENTRAL SCHOOL DISTRICT (MARCUS WHITMAN),40.0,7.0,2.0,1.0,0.0,47.0,3.0
2014,MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT (RED JACKET),26.0,10.0,0.0,4.0,1.0,36.0,5.0
2014,NAPLES CENTRAL SCHOOL DISTRICT,25.0,9.0,2.0,1.0,2.0,34.0,5.0
2014,PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL DISTRICT,27.0,7.0,2.0,5.0,1.0,34.0,8.0
2014,HONEOYE CENTRAL SCHOOL DISTRICT,20.0,6.0,1.0,1.0,0.0,26.0,2.0
2014,VICTOR CENTRAL SCHOOL DISTRICT,10.0,4.0,2.0,3.0,3.0,14.0,8.0
2014,WASHINGTONVILLE CENTRAL SCHOOL DISTRICT,16.0,8.0,7.0,18.0,3.0,24.0,28.0
2014,CHESTER UNION FREE SCHOOL DISTRICT,23.0,9.0,10.0,29.0,5.0,32.0,44.0
2014,CORNWALL CENTRAL SCHOOL DISTRICT,10.0,4.0,6.0,14.0,5.0,14.0,25.0
2014,PINE BUSH CENTRAL SCHOOL DISTRICT,28.0,10.0,11.0,17.0,3.0,38.0,31.0
2014,GOSHEN CENTRAL SCHOOL DISTRICT,18.0,4.0,4.0,17.0,4.0,22.0,25.0
2014,HIGHLAND FALLS CENTRAL SCHOOL DISTRICT,23.0,8.0,14.0,22.0,3.0,31.0,39.0
2014,MIDDLETOWN CITY SCHOOL DISTRICT,60.0,15.0,25.0,51.0,2.0,75.0,78.0
2014,MINISINK VALLEY CENTRAL SCHOOL DISTRICT,14.0,6.0,5.0,14.0,2.0,20.0,21.0
2014,MONROE-WOODBURY CENTRAL SCHOOL DISTRICT,15.0,3.0,7.0,20.0,7.0,18.0,34.0
2014,KIRYAS JOEL VILLAGE UNION FREE SCHOOL DISTRICT,80.0,1.0,0.0,0.0,0.0,81.0,0.0
2014,VALLEY CENTRAL SCHOOL DISTRICT (MONTGOMERY),25.0,9.0,10.0,19.0,2.0,34.0,31.0
2014,NEWBURGH CITY SCHOOL DISTRICT,59.0,8.0,26.0,46.0,2.0,67.0,74.0
2014,PORT JERVIS CITY SCHOOL DISTRICT,52.0,9.0,9.0,12.0,1.0,61.0,22.0
2014,TUXEDO UNION FREE SCHOOL DISTRICT,6.0,3.0,4.0,9.0,3.0,9.0,16.0
2014,WARWICK VALLEY CENTRAL SCHOOL DISTRICT,8.0,3.0,5.0,11.0,2.0,11.0,18.0
2014,GREENWOOD LAKE UNION FREE SCHOOL DISTRICT,23.0,9.0,1.0,20.0,2.0,32.0,23.0
2014,FLORIDA UNION FREE SCHOOL DISTRICT,13.0,5.0,6.0,19.0,2.0,18.0,27.0
2014,ALBION CENTRAL SCHOOL DISTRICT,41.0,11.0,10.0,11.0,1.0,52.0,22.0
2014,KENDALL CENTRAL SCHOOL DISTRICT,37.0,9.0,1.0,8.0,0.0,46.0,9.0
2014,HOLLEY CENTRAL SCHOOL DISTRICT,40.0,13.0,2.0,7.0,0.0,53.0,9.0
2014,MEDINA CENTRAL SCHOOL DISTRICT,37.0,6.0,6.0,7.0,0.0,43.0,13.0
2014,LYNDONVILLE CENTRAL SCHOOL DISTRICT,31.0,8.0,1.0,3.0,1.0,39.0,5.0
2014,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,46.0,14.0,1.0,2.0,0.0,60.0,3.0
2014,FULTON CITY SCHOOL DISTRICT,48.0,8.0,2.0,4.0,1.0,56.0,7.0
2014,HANNIBAL CENTRAL SCHOOL DISTRICT,50.0,11.0,1.0,3.0,0.0,61.0,4.0
2014,CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,31.0,9.0,1.0,1.0,1.0,40.0,3.0
2014,MEXICO CENTRAL SCHOOL DISTRICT,38.0,11.0,1.0,2.0,0.0,49.0,3.0
2014,OSWEGO CITY SCHOOL DISTRICT,42.0,6.0,2.0,4.0,1.0,48.0,7.0
2014,PULASKI CENTRAL SCHOOL DISTRICT,42.0,11.0,1.0,1.0,0.0,53.0,2.0
2014,SANDY CREEK CENTRAL SCHOOL DISTRICT,39.0,16.0,1.0,1.0,1.0,55.0,3.0
