YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP,PER_FREE_LUNCH,PER_REDUCED_LUNCH,PER_BLACK,PER_HISP,PER_ASIAN,PER_FRPL,PER_MINORITY
2014,AMHERST CENTRAL SCHOOL DISTRICT,7.000000000000001,30.0,6.318518518518509,23.0,7.0,15.0,5.0,6.0,30.0,26.0
2014,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,11.0,32.0,10.525896414342629,8.0,3.0,4.0,3.0,11.0,11.0,18.0
2014,SWEET HOME CENTRAL SCHOOL DISTRICT,8.0,33.0,7.72826086956521,36.0,7.0,20.0,5.0,6.0,43.0,31.0
2014,EAST AURORA UNION FREE SCHOOL DISTRICT,14.000000000000002,28.999999999999996,13.323308270676689,7.0,3.0,1.0,2.0,1.0,10.0,4.0
2014,BUFFALO CITY SCHOOL DISTRICT,17.0,25.0,16.62369838420107,73.0,3.0,50.0,17.0,7.0,76.0,74.0
2014,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,17.0,25.0,16.2,48.0,11.0,32.0,5.0,5.0,59.0,42.0
2014,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,13.0,22.0,12.574324324324321,35.0,11.0,8.0,4.0,3.0,46.0,15.0
2014,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,11.0,22.0,10.91056910569105,40.0,12.0,28.0,7.0,2.0,52.0,37.0
2014,DEPEW UNION FREE SCHOOL DISTRICT,14.000000000000002,0.0,14.08695652173913,28.0,13.0,3.0,3.0,2.0,41.0,8.0
2014,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,9.0,25.0,8.73109243697478,40.0,17.0,4.0,2.0,1.0,57.0,7.0
2014,CLARENCE CENTRAL SCHOOL DISTRICT,16.0,33.0,16.0,5.0,2.0,1.0,2.0,3.0,7.0,6.0
2014,SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,6.0,33.0,6.0,20.0,9.0,0.0,2.0,1.0,29.0,3.0
2014,EDEN CENTRAL SCHOOL DISTRICT,14.000000000000002,33.0,13.36666666666666,13.0,4.0,0.0,2.0,0.0,17.0,2.0
2014,IROQUOIS CENTRAL SCHOOL DISTRICT,15.0,0.0,15.154639175257731,7.0,4.0,0.0,1.0,1.0,11.0,2.0
2014,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),6.0,22.0,6.0,35.0,9.0,2.0,2.0,1.0,44.0,5.0
2014,GRAND ISLAND CENTRAL SCHOOL DISTRICT,7.000000000000001,17.0,6.870129870129869,13.0,5.0,2.0,4.0,3.0,18.0,9.0
2014,HAMBURG CENTRAL SCHOOL DISTRICT,12.0,0.0,12.12413793103448,11.0,3.0,0.0,2.0,1.0,14.0,3.0
2014,FRONTIER CENTRAL SCHOOL DISTRICT,11.0,63.0,10.71891891891892,18.0,9.0,1.0,3.0,1.0,27.0,5.0
2014,HOLLAND CENTRAL SCHOOL DISTRICT,18.0,0.0,18.72972972972973,14.0,5.0,1.0,1.0,1.0,19.0,3.0
2014,LACKAWANNA CITY SCHOOL DISTRICT,27.0,0.0,27.547297297297302,68.0,10.0,18.0,13.0,1.0,78.0,32.0
2014,LANCASTER CENTRAL SCHOOL DISTRICT,8.0,0.0,8.07529411764705,9.0,4.0,1.0,2.0,1.0,13.0,4.0
2014,AKRON CENTRAL SCHOOL DISTRICT,9.0,0.0,9.19565217391304,24.0,8.0,1.0,1.0,0.0,32.0,2.0
2014,NORTH COLLINS CENTRAL SCHOOL DISTRICT,10.0,14.000000000000002,9.79310344827586,28.0,10.0,1.0,5.0,0.0,38.0,6.0
2014,ORCHARD PARK CENTRAL SCHOOL DISTRICT,9.0,30.0,8.234375,7.0,2.0,1.0,2.0,2.0,9.0,5.0
2014,TONAWANDA CITY SCHOOL DISTRICT,11.0,25.0,10.906040268456369,27.0,8.0,2.0,3.0,1.0,35.0,6.0
2014,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,15.0,33.0,14.77287066246056,31.0,11.0,6.0,5.0,2.0,42.0,13.0
2014,WEST SENECA CENTRAL SCHOOL DISTRICT,21.0,18.0,21.04166666666666,23.0,9.0,2.0,3.0,1.0,32.0,6.0
2014,CROWN POINT CENTRAL SCHOOL DISTRICT,8.0,0.0,9.45454545454545,37.0,12.0,1.0,1.0,1.0,49.0,3.0
2014,ELIZABETHTOWN-LEWIS CENTRAL SCHOOL DISTRICT,6.0,33.0,5.1,29.0,10.0,2.0,0.0,1.0,39.0,3.0
2014,KEENE CENTRAL SCHOOL DISTRICT,14.000000000000002,0.0,14.538461538461538,30.0,6.0,2.0,2.0,5.0,36.0,9.0
2014,MINERVA CENTRAL SCHOOL DISTRICT,14.000000000000002,20.0,13.76,21.0,26.0,0.0,0.0,2.0,47.0,2.0
2014,MORIAH CENTRAL SCHOOL DISTRICT,6.0,0.0,6.468749999999999,43.0,13.0,1.0,1.0,0.0,56.0,2.0
2014,NEWCOMB CENTRAL SCHOOL DISTRICT,5.0,33.0,5.0,14.0,8.0,0.0,5.0,9.0,22.0,14.0
2014,LAKE PLACID CENTRAL SCHOOL DISTRICT,11.0,50.0,9.352112676056331,23.0,10.0,0.0,0.0,2.0,33.0,2.0
2014,SCHROON LAKE CENTRAL SCHOOL DISTRICT,0.0,0.0,0.0,36.0,15.0,0.0,1.0,0.0,51.0,1.0
2014,TICONDEROGA CENTRAL SCHOOL DISTRICT,14.000000000000002,0.0,14.72727272727273,40.0,12.0,1.0,0.0,1.0,52.0,2.0
2014,WESTPORT CENTRAL SCHOOL DISTRICT,4.0,50.0,4.0,27.0,15.0,0.0,1.0,0.0,42.0,1.0
2014,WILLSBORO CENTRAL SCHOOL DISTRICT,9.0,33.0,9.0,38.0,9.0,0.0,0.0,0.0,47.0,0.0
2014,TUPPER LAKE CENTRAL SCHOOL DISTRICT,12.0,20.0,11.124999999999991,30.0,14.0,0.0,1.0,1.0,44.0,2.0
2014,CHATEAUGAY CENTRAL SCHOOL DISTRICT,0.0,0.0,0.0,33.0,7.0,0.0,0.0,0.0,40.0,0.0
