YEAR,DISTRICT,PER_TURN_ALL,PER_TURN_INEXP,PER_TURN_EXP
2014,LITTLE FALLS CITY SCHOOL DISTRICT,0.14,0.0,0.15976470588235298
2014,DOLGEVILLE CENTRAL SCHOOL DISTRICT,0.19,0.0,0.21612499999999998
2014,POLAND CENTRAL SCHOOL DISTRICT,0.19,0.5,0.16519999999999999
2014,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,0.21,0.17,0.21631578947368424
2014,TOWN OF WEBB UNION FREE SCHOOL DISTRICT,0.13,0.4,0.09000000000000001
2014,MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,0.05,0.0,0.05052083333333334
2014,CENTRAL VALLEY CSD AT ILION-MOHAWK,,,
2014,SOUTH JEFFERSON CENTRAL SCHOOL DISTRICT,0.09,0.22,0.08193798449612404
2014,ALEXANDRIA CENTRAL SCHOOL DISTRICT,0.04,0.0,0.0407843137254902
2014,INDIAN RIVER CENTRAL SCHOOL DISTRICT,0.07,0.09,0.06864864864864866
2014,GENERAL BROWN CENTRAL SCHOOL DISTRICT,0.18,0.44,0.17428571428571427
2014,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08195121951219513
2014,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,0.08,0.25,0.07105263157894737
2014,SACKETS HARBOR CENTRAL SCHOOL DISTRICT,0.05,0.2,0.0418918918918919
2014,LYME CENTRAL SCHOOL DISTRICT,0.11,0.5,0.08483870967741935
2014,LA FARGEVILLE CENTRAL SCHOOL DISTRICT,0.02,0.1,0.01627906976744186
2014,WATERTOWN CITY SCHOOL DISTRICT,0.1,0.13,0.09817204301075269
2014,CARTHAGE CENTRAL SCHOOL DISTRICT,0.08,0.1,0.07807531380753138
2014,COPENHAGEN CENTRAL SCHOOL DISTRICT,0.12,0.29,0.09763157894736842
2014,HARRISVILLE CENTRAL SCHOOL DISTRICT,0.15,0.25,0.12941176470588234
2014,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,0.11,0.27,0.09596491228070177
2014,SOUTH LEWIS CENTRAL SCHOOL DISTRICT,0.15,0.37,0.12749999999999997
2014,BEAVER RIVER CENTRAL SCHOOL DISTRICT,0.07,0.13,0.059811320754717
2014,AVON CENTRAL SCHOOL DISTRICT,0.12,0.29,0.11463157894736843
2014,CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,0.09,0.0,0.09341772151898733
2014,GENESEO CENTRAL SCHOOL DISTRICT,0.11,0.09,0.1111111111111111
2014,LIVONIA CENTRAL SCHOOL DISTRICT,0.11,0.11,0.11000000000000001
2014,MOUNT MORRIS CENTRAL SCHOOL DISTRICT,0.13,0.5,0.05431818181818183
2014,DANSVILLE CENTRAL SCHOOL DISTRICT,0.06,0.25,0.05136363636363636
2014,DALTON-NUNDA CENTRAL SCHOOL DISTRICT (KESHEQUA),0.15,0.0,0.15434782608695652
2014,YORK CENTRAL SCHOOL DISTRICT,0.13,0.33,0.13
2014,BROOKFIELD CENTRAL SCHOOL DISTRICT,0.09,0.5,0.07217391304347827
2014,CAZENOVIA CENTRAL SCHOOL DISTRICT,0.09,0.25,0.0792436974789916
2014,DERUYTER CENTRAL SCHOOL DISTRICT,0.08,0.0,0.08170212765957446
2014,MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT,0.11,0.0,0.1156896551724138
